CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
1,68bc42b14731432942174e33624970cd6e4d4b19638913c55ad34e1969a4cda6,https://ngmdb.usgs.gov/Prodesc/proddesc_113122.htm,Download,113122,,yes,yes,Result Download,Result Download,
1,5a06544690b6611f419f0c6f244776a536ad52915555555555515545c9b1ddb9,https://ngmdb.usgs.gov/Prodesc/proddesc_110931.htm,Download,110931,,yes,yes,Result Download,Result Download,
1,749096b5d935d936986598659a659a651a759a759a359a359a719a63be23bcb3,https://ngmdb.usgs.gov/Prodesc/proddesc_53392.htm,Download,53392,,,,,,
1,6aa06eb5d925c9279a659a659a651a651a751a759a359a351a699a631a23aab3,https://ngmdb.usgs.gov/Prodesc/proddesc_53392.htm,Download,53392,,,,,,
1,5f2166d54ad573d362d562d126d31ed14bd36b9326d326d316d312d50e959c15,https://ngmdb.usgs.gov/Prodesc/proddesc_53572.htm,Download,53572,,,,,,
1,640078132f9b27c9037380e9722a33aa8dba407a2f222cca70c258c270ea34d0,https://ngmdb.usgs.gov/Prodesc/proddesc_97982.htm,Download,97982,,,,,,
1,7b196899429fd50d934d07cd1d0d192d360f454dccddd88d892d11b11cb96169,https://ngmdb.usgs.gov/Prodesc/proddesc_53535.htm,Download,53535,,,,,,
1,60489c239cb39d138d219d138d319d339c9396638b6c807a5a682b9624918069,https://ngmdb.usgs.gov/Prodesc/proddesc_53230.htm,Download,53230,37298,,,,,
1,ec88b0931c931d131c9108132c11d0130813a013409432128ce84b962b998c69,https://ngmdb.usgs.gov/Prodesc/proddesc_53231.htm,Download,53231,37299,,,,,
1,6408a073a033a013a121a163a261a263a463a463a46cba1283e063962a998069,https://ngmdb.usgs.gov/Prodesc/proddesc_53232.htm,Download,53232,37300,,,,,
1,e8889ee39e639c639561956393619b6393e399e38d6cc52e48da4a962a998ec9,https://ngmdb.usgs.gov/Prodesc/proddesc_53228.htm,Download,53228,37296,,,,,
1,58b9233f5a3314b70e1738b33d17347bbc6a266934811db9612d4bc943e10189,https://ngmdb.usgs.gov/Prodesc/proddesc_53645.htm,Download,53645,37471,,,,,
1,6e513c8d564516737c7534f12d15676158efd0e161712933393302dbec67cce9,https://ngmdb.usgs.gov/Prodesc/proddesc_52955.htm,Download,52955,,,,,,
2,c4cc244cc5a0cd262be032844eb019a08bac07ac25a8318619a6d48c248c8ee1,https://ngmdb.usgs.gov/Prodesc/proddesc_2718.htm,Download,2718,20793,yes,yes,Result Download,Result Download,
2,6246624663467c4678465ce75c671c67364774573b76076f1ddf255f88f049b1,https://ngmdb.usgs.gov/Prodesc/proddesc_10139.htm,Download,10139,18086,,,,,
2,464f530f460f4a85710f794f794f7a6734677a27382658875887599704730139,https://ngmdb.usgs.gov/Prodesc/proddesc_10240.htm,Download,10240,18130,,,,,
