filename_prefix,url,ref_title,authors,ref_year,ref_source,scale_denominator
WittmanHeiroglypicMtnsSW,https://repository.arizona.edu/handle/10150/678590,Surficial Geology of the Hieroglyphic Mountains Southwest 7,"Huckleberry, G.",2024,"5' Quadrangle, Northern Maricopa County, Arizona v. 2.0, DGM-275",
Wittman,https://repository.arizona.edu/handle/10150/678591,Surficial Geology of the Wittmann 7,"Huckleberry, G.",2024,"5' Quadrangle, Northern Maricopa County, Arizona v. 2.0, DGM-274",
WildcatHill,https://repository.arizona.edu/handle/10150/675622,"Geologic Map of the Wildcat Hill Quadrangle, Maricopa County, Arizona","Skotnicki, S.J., Leighty, R.S., and Pearthree, P.A.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-209",24000
VultureMtnsPlate2,https://repository.arizona.edu/handle/10150/678581,"Geologic Map of the Vulture Mountains, West-Central Arizona: Plate 2","Grubensky, M.J.",2024,"2.0, DGM-239",
VerdeRiver,https://repository.arizona.edu/handle/10150/630995,"Mapping of Holocene River Alluvium along the Verde River, Central Arizona: Arizona Geological Survey Digital Map - River Alluvium 02 (DM-RM-02)","Cook, J.P., Pearthree, P.A., Onken, J.A., Youberg, A. and Bigio, E.R.",2010,,24000
Tule,https://repository.arizona.edu/handle/10150/667911,"Geologic Map of the Tule Wash 7 Quadrangle, Mohave County, Arizona","Gootee, B. F., Bradford, J. J",2023,,
tontobasin,https://repository.arizona.edu/handle/10150/675630,Geology of the Tonto Basin 7,"Ferguson, C.A., Skotnicki, S.J., and Gilbert, W.G.",2024,"5' Quadrangle, Gila and Maricopa Counties, Arizona v.2. Arizona Geological Survey Digital Geologic Map, DGM-216",24000
TheodoreRooseveltDam,https://repository.arizona.edu/handle/10150/675632,"Geologic map and report for the Theodore Roosevelt Dam area, Gila and Maricopa Counties, Arizona","Spencer, J.E. and Richard, S.M.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-221",24000
TankMtn,https://repository.arizona.edu/handle/10150/630792,"Bedrock geology of the eastern and central Tank Mountains, Yuma County, Arizona","Ferguson, C.A., Skotnicki, S.J. and Spencer, J.E.",1994,"Arizona Geological Survey Open File Report, OFR-94-08",24000
SupMtnsWeavN,https://repository.arizona.edu/handle/10150/678586,"Surficial Geology of the Superstition Mountain Piedmont Area, Northern Pinal and Eastern Maricopa Counties, Arizona: Weavers Needle Quadrangle","Huckleberry, G.",2024,"2.0, DGM-269",
SuperstitionMtnsFlorenceNE,https://repository.arizona.edu/handle/10150/678582,"Surficial Geology of the Superstition Mountain Piedmont Area, Northern Pinal and Eastern Maricopa Counties, Arizona: Florence NE Quadrangle","Huckleberry, G.",2024,"2.0, DGM-272",
StewartMountain,https://repository.arizona.edu/handle/10150/675626,"Geologic Map of the Stewart Mountain Quadrangle, Maricopa County, Arizona","Skotnicki, S.J. and Leighty, R.S.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-123",24000
