slug,name,website_url,archive_url,ref_title,ref_authors,ref_year
arizona_adgm_1709239328586_905,"Geologic Map of the Casa Grande 30’ x 60’ Quadrangle, west-central Arizona",http://hdl.handle.net/10150/670960,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1709239328586-905/CasaGrande.gpkg,"Geologic Map of the Casa Grande 30’ x 60’ Quadrangle, west-central Arizona","Pearthree, Philip A.; Johnson, Bradford J.; Richard, S. M.; Spencer, J. E.; Cook, Joseph P.",2024
arizona_adgm_1709238453771_629,"Geologic Map of the western part of the Tucson 30' x 60' Quadrangle and the eastern part of the Silver Bell Mountains 30' x60' Quadrangle, southeastern Arizona",http://hdl.handle.net/10150/670961,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1709238453771-629/TucsonSilverbell.gpkg,"Geologic Map of the western part of the Tucson 30' x 60' Quadrangle and the eastern part of the Silver Bell Mountains 30' x60' Quadrangle, southeastern Arizona","Pearthree, Philip A.; Richardson, Carson A.; Ferguson, Charles A.",2024
arizona_adgm_1675706883546_643,"Geologic Map of the Gunsight Canyon 7.5’ quadrangle, Mohave County, Arizona",http://hdl.handle.net/10150/667898,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1675706883546-643/Gunsight.gpkg,"Geologic Map of the Gunsight Canyon 7.5’ quadrangle, Mohave County, Arizona","Thompson, Lisa A.; Cook, Joseph P.; Garcia, Victor H.",2023
arizona_adgm_1700502522078_706,"Geologic map of the Kaiser Spring volcanic field and lower Burro Creek area, Mohave and Yavapai Counties, Arizona",http://hdl.handle.net/10150/668775,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1700502522078-706/KaiserSpring.gpkg,"Geologic map of the Kaiser Spring volcanic field and lower Burro Creek area, Mohave and Yavapai Counties, Arizona","Thompson, Lisa A.; Johnson, Bradford J.; Gootee, Brian F.; Richardson, Carson A.; Garcia, Victor H.; Mako, Calvin A.",2023
arizona_adgm_1675096932994_1,"Geologic Map of the Salome 30’ x 60’ Quadrangle, West-Central Arizona",http://hdl.handle.net/10150/667792,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1675096932994-1/Salome.gpkg,"Geologic Map of the Salome 30’ x 60’ Quadrangle, West-Central Arizona","Richard, Stephen M.; Spencer, Jon E.; Reynolds, Stephen J.; Pearthree, Philip A.; Demesy, Karen A.; Thompson, Lisa A.; Snellen, Haley L.; Theime, Jennifer P.",2023
arizona_adgm_1675971636274_800,"Geologic Map of the Tule Wash 7.5’ Quadrangle, Mohave County, Arizona",http://hdl.handle.net/10150/667911,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1675971636274-800/TuleWash.gpkg,"Geologic Map of the Tule Wash 7.5’ Quadrangle, Mohave County, Arizona","Gootee, Brian F.; Johnson, Bradford J.",2023
arizona_adgm_1675706531327_660,"Geologic Map of the Wikieup and northern half of the Greenwood Peak 7.5’ Quadrangles, Mohave County, Arizona",http://hdl.handle.net/10150/667899,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1675706531327-660/Wikieup.gpkg,"Geologic Map of the Wikieup and northern half of the Greenwood Peak 7.5’ Quadrangles, Mohave County, Arizona","Ferguson, Charles A.; Gootee, Brian F.; Richardson, Carson A.; Thompson, Lisa A.",2023
arizona_adgm_1669150619720_803,"Bedrock geologic map of the Apache Junction and Buckhorn Quadrangles, Maricopa and Pinal Counties, Arizona v.2.0",http://hdl.handle.net/10150/630779,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669150619720-803/ApacheJunction.gpkg,"Bedrock geologic map of the Apache Junction and Buckhorn Quadrangles, Maricopa and Pinal Counties, Arizona v.2.0","Skotnicki, S.J.; Ferguson, C.A.",2022
arizona_adgm_1669150958495_450,"Bedrock geology of the eastern and central Tank Mountains, Yuma County, Arizona v.2.0",http://hdl.handle.net/10150/630792,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669150958495-450/TankMountians.gpkg,"Bedrock geology of the eastern and central Tank Mountains, Yuma County, Arizona v.2.0","Skotnicki, S.J.; Ferguson, C.A.; Spencer, J.E.",2022
arizona_adgm_1669149754515_453,"Compilation geologic map of the Oracle 7.5' Quadrangle, Pinal and Pima Counties, Arizona v.2.0",http://hdl.handle.net/10150/630713,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669149754515-453/OracleQuadrangle.gpkg,"Compilation geologic map of the Oracle 7.5' Quadrangle, Pinal and Pima Counties, Arizona v.2.0","Spencer, J.E.; Richard, S.M.; Ferguson, C.A.",2022
arizona_adgm_1673976179330_108,"Geologic map of the Cerbat 7.5' quadrangle, Mohave County, Arizona",http://hdl.handle.net/10150/663266,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1673976179330-108/Cerbat.gpkg,"Geologic map of the Cerbat 7.5' quadrangle, Mohave County, Arizona","Richardson, C.A.; Pearthree, P.A.",2022
arizona_adgm_1669240536580_269,"Geologic Map of the Copper Mountain Quadrangle, Gila County, Arizona v.2.0",http://hdl.handle.net/10150/630614,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669240536580-269/CopperMountains.gpkg,"Geologic Map of the Copper Mountain Quadrangle, Gila County, Arizona v.2.0","Skotnicki, S.J.",2022
arizona_adgm_1674061072961_307,"Geologic map of the Eden and eastern half of the Telegraph Wash 7.5' quadrangles, Graham County, Arizona",http://hdl.handle.net/10150/663265,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1674061072961-307/Eden.gpkg,"Geologic map of the Eden and eastern half of the Telegraph Wash 7.5' quadrangles, Graham County, Arizona","Gootee, B.F.; Cook, J.P.",2022
arizona_adgm_1669151747450_70,"Geologic map of the Goldfield Quadrangle and the northern part of the Superstition Mountains. SW Quadrangle, Maricopa and Pinal Counties, Arizona v.2.0",http://hdl.handle.net/10150/630781,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669151747450-70/Goldfield.gpkg,"Geologic map of the Goldfield Quadrangle and the northern part of the Superstition Mountains. SW Quadrangle, Maricopa and Pinal Counties, Arizona v.2.0","Skotnicki, S.J.; Ferguson, C.A.",2022
arizona_adgm_1669153371985_581,"Geologic Map of the Humboldt Mountain 7.5' Quadrangle, Maricopa County, Arizona v.2.0",http://hdl.handle.net/10150/630932,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669153371985-581/HumboldtMountians.gpkg,"Geologic Map of the Humboldt Mountain 7.5' Quadrangle, Maricopa County, Arizona v.2.0","Gilbert, W. G.; Ferguson, A. C.; Leighty, R. S.",2022
arizona_adgm_1669239711554_911,"Geologic map of the Lincoln Ranch Basin, eastern Buckskin Mountains, western Arizona v.2.0",http://hdl.handle.net/10150/630854,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669239711554-911/LincolnRanchBasin.gpkg,"Geologic map of the Lincoln Ranch Basin, eastern Buckskin Mountains, western Arizona v.2.0","Spencer, J.E.; Reynolds, S.J.",2022
arizona_adgm_1657818658314_498,"Geologic Map of the Little Horn Mountains 30' X 60' Quadrangle, West-Central Arizona",http://hdl.handle.net/10150/665381,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1657818658314-498/ncgmp09.zip,"Geologic Map of the Little Horn Mountains 30' X 60' Quadrangle, West-Central Arizona",Jon E. Spencer; Philip A. Pearthree; Karen A. Demsey; Lisa A. Thompson; Haley L. Snellen; Kraig M. Korroch; Jennifer P. Theime; Stephen M. Richard,2022
arizona_adgm_1657818658314_498,"Geologic Map of the Little Horn Mountains 30' X 60' Quadrangle, West-Central Arizona",http://hdl.handle.net/10150/665381,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1657818658314-498/layers.zip,"Geologic Map of the Little Horn Mountains 30' X 60' Quadrangle, West-Central Arizona",Jon E. Spencer; Philip A. Pearthree; Karen A. Demsey; Lisa A. Thompson; Haley L. Snellen; Kraig M. Korroch; Jennifer P. Theime; Stephen M. Richard,2022
arizona_adgm_1669749648851_730,"Geologic map of the New River Mesa 7.5' Quadrangle, Maricopa County, Arizona v.2.0",http://hdl.handle.net/10150/630772,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669749648851-730/newrivermesa.gpkg,"Geologic map of the New River Mesa 7.5' Quadrangle, Maricopa County, Arizona v.2.0","Ferguson, C.A.; Gilbert, W.G.; Leighty, R.S.",2022
arizona_adgm_1669754756906_455,"Geologic Map of the Ninetysix Hills NE Quadrangle, Pinal County, Arizona",http://hdl.handle.net/10150/666984,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669754756906-455/NintySixHillsNE.gpkg,"Geologic Map of the Ninetysix Hills NE Quadrangle, Pinal County, Arizona","Skotnicki, S.J.",2022
arizona_adgm_1669753102646_397,"Geologic Map of the Ninetysix Hills NW Quadrangle, Pinal County, Arizona v. 2.0",http://hdl.handle.net/10150/666982,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669753102646-397/NintySixHillsNW.gpkg,"Geologic Map of the Ninetysix Hills NW Quadrangle, Pinal County, Arizona v. 2.0","Skotnicki, S.J.",2022
arizona_adgm_1669755813860_424,"Geologic Map of the Ninetysix Hills SE Quadrangle, Pinal County, Arizona",http://hdl.handle.net/10150/666985,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669755813860-424/NintySixHillsSE.gpkg,"Geologic Map of the Ninetysix Hills SE Quadrangle, Pinal County, Arizona","Skotnicki, S.J.",2022
arizona_adgm_1669755388590_632,"Geologic Map of the Ninetysix Hills SW Quadrangle, Pinal County, Arizona",http://hdl.handle.net/10150/666983,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669755388590-632/NintySixHillsSW.gpkg,"Geologic Map of the Ninetysix Hills SW Quadrangle, Pinal County, Arizona","Skotnicki, S.J.",2022
arizona_adgm_1669240099651_488,"Geologic Map of the Northwestern Part of the Greenback Creek 7.5' Quadrangle, Gila County, Arizona v.2.0",http://hdl.handle.net/10150/629763,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669240099651-488/GreenbackCreek.gpkg,"Geologic Map of the Northwestern Part of the Greenback Creek 7.5' Quadrangle, Gila County, Arizona v.2.0","Spencer, J.E.; Richard, S.M.; Ferguson, C.A.; Gilbert, W.G.",2022
arizona_adgm_1669146135392_574,"Geologic map of the Oracle Junction 7.5' Quadrangle and the eastern third of the Tortolita Mountains 7.5' Quadrangle, Pima and Pinal Counties, Arizona v. 2.0",http://hdl.handle.net/10150/630615,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669146135392-574/OracleJunction.gpkg,"Geologic map of the Oracle Junction 7.5' Quadrangle and the eastern third of the Tortolita Mountains 7.5' Quadrangle, Pima and Pinal Counties, Arizona v. 2.0","Skotnicki, S.J.",2022
arizona_adgm_1669151498613_530,"Geologic Map of the Palomas Mountains, Yuma County, Arizona v.2.0",http://hdl.handle.net/10150/630946,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669151498613-530/Palomas.gpkg,"Geologic Map of the Palomas Mountains, Yuma County, Arizona v.2.0","Skotnicki, S.J.; Ferguson, C.A.",2022
arizona_adgm_1663016995674_179,"Geologic map of the Picacho Mountains and Picacho Peak, Pinal County, southern Arizona v. 2.0",http://hdl.handle.net/10150/630820,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1663016995674-179/geodatabase.zip,"Geologic map of the Picacho Mountains and Picacho Peak, Pinal County, southern Arizona v. 2.0","Richard, S.M.; Spencer, J.E.; Ferguson, C.A.; Pearthree, P.A.",2022
arizona_adgm_1663016995674_179,"Geologic map of the Picacho Mountains and Picacho Peak, Pinal County, southern Arizona v. 2.0",http://hdl.handle.net/10150/630820,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1663016995674-179/PicachoPeakAndMountians.gpkg,"Geologic map of the Picacho Mountains and Picacho Peak, Pinal County, southern Arizona v. 2.0","Richard, S.M.; Spencer, J.E.; Ferguson, C.A.; Pearthree, P.A.",2022
