slug,name,url,ref_title,authors,ref_year,ref_source,isbn_doi,license,keywords,scale_denominator,language,description
ashio_japan,"Ashio, Japan",https://www.gsj.jp/Map/EN/geology4-7.html,"Explanatory Text of the Geological Map of Japan, Ashio","Kiyoo KAWADA, Atsushi OZAWA",1954,https://www.gsj.jp/Map/EN/docs/5man_doc/07/07_101.htm,,Geological Survey of Japan,"07ï¼»NIIGATAï¼½-101;GUNMA, TOCHIGI;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Ashio"
iiyama_japan,"Iiyama, Japan",https://www.gsj.jp/Map/EN/geology4-7.html,Geology of the Iiyama District,"Yukio YANAGISAWA, Takayuki KANEKO, Sadayuki AKAHANE, Yasuo AWATA, Toshitaka KAMAI and Nobuyuki TSUCHIYA",2000,https://www.gsj.jp/Map/EN/docs/5man_doc/07/07_073.htm,,Geological Survey of Japan,"07ï¼»NIIGATAï¼½-073;NAGANO, NIIGATA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Iiyama District
izumozaki_japan,"Izumozaki, Japan",https://www.gsj.jp/Map/EN/geology4-7.html,Geology of the Izumozaki District,"Iwao KOBAYASHI, Masaaki TATEISHI and Takeshi UEMURA",1993,https://www.gsj.jp/Map/EN/docs/5man_doc/07/07_026.htm,,Geological Survey of Japan,"07ï¼»NIIGATAï¼½-026;NIIGATA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Izumozaki District
japan_abuga_shima,"Abugashima, Ishikawa, Toyama, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Geology of the Ochigata and Abugashima District (10[KANAZAWA]-015, 016)","Isao IMAI, Toru SAKAMOTO, Tamotsu NOZAWA",1967,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_016.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-016;ISHIKAWA, TOYAMA;Quadrangle Series 1:50,000",50000,"Japanese, English","Geology of the Ochigata and Abugashima District (10[KANAZAWA]-015, 016)"
japan_aburakawa,"Aburakawa, Aomori, Japan",https://www.gsj.jp/Map/EN/geology4-5.html,Geology of the Aburakawa District,Keizo FUJII,1981,https://www.gsj.jp/Map/EN/docs/5man_doc/05/05_015.htm,,Geological Survey of Japan,"05ï¼»AOMORIï¼½-015;AOMORI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Aburakawa District
japan_agematsu,"Agematsu, Nagano, Gifu, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Agematsu","Masato KATADA, Hiroshi ISOMI",1958,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_073.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-073;NAGANO, GIFU;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Agematsu"
japan_ajigasawa,"Ajigasawa, Aomori, Japan",https://www.gsj.jp/Map/EN/geology4-5.html,Geology of the Ajigasawa District,"Jiro HIRAYAMA, Fujio UEMURA",1985,https://www.gsj.jp/Map/EN/docs/5man_doc/05/05_020.htm,,Geological Survey of Japan,"05ï¼»AOMORIï¼½-020;AOMORI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Ajigasawa District
japan_akaho,"Akaho, Nagano, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Akaho","Masaro MURAYAMA, Masato KATADA",1958,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_074.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-074;NAGANO;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Akaho"
japan_akana,"Akana, Shimane, Hiroshima, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,Geology of the Akana District,Hirohisa MATSUURA,1990,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_050.htm,,Geological Survey of Japan,"12 [OKAYAMA]-050;SHIMANE, HIROSHIMA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Akana District
japan_akasaki,"Akasaki, Tottori, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,"Explanatory Text of the Geological Map of Japan, Akasaki and Daisen (12[OKAYAMA]-009, 019)",Ryohei OTA,1962,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_009.htm,,Geological Survey of Japan,"12 [OKAYAMA]-009;TOTTORI;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Akasaki and Daisen (12[OKAYAMA]-009, 019)"
